Abe Ease Seize Supports	ABC Sports
Row Mitt Ellie	Rome, Italy
Pie Rate Softy Car Hip Been	Pirates Of The Caribbean
Dub Helen Dam Knee Tee	Double Indemnity
Peal Oaf Height	Pillow Fight
Ape Peep Pulp Her Sun	A People Person
Foyer Inn Form Hay Shun	For Your Information
Verge Chin Nair Lions	Virgin Airlines
Deep Hatch Hell Oar Rhett	The Bachelorette
Raid He Owe Wack Tiff	Radioactive
Who Juan Stubby Aim Hill Yon Hair	Who Wants To Be A Millionaire?
Moo Hammer Dolly	Muhammad Ali
Up Racked Hick Gulch Oak	A Practical Joke
Watt Senate Form He	What's In It For Me?
I'm Ill Yon Dull Hers	A Million Dollars
Won Tube Huck Elm Ice Hue	One, Two, Buckle My Shoe
Lay Tea Tall Hank Gout	Let It All Hang Out
Pa Pie These Hail Herman	Popeye The Sailor Man
Ease Gun Hay Wall	He's Gone AWOL
If Fairy Witch Weigh Bottle Ooze	Every Which Way But Loose
Hive 'zine Delight	I've Seen The Light
Tanks Ford Deem Emma Reese	Thanks For The Memories
Eek Whole Eye Back Teary Aah	E.Coli Bacteria
Mile Hit Hlep Oh Knee	My Little Pony
Her Bra Cadaver	Abracadabra
Halo Garbo Hide Rate Man You	A Low-Carbohydrate Menu
If Reap Potty Loafs Ray Mound	Everybody Loves Raymond
Eggs Rave Fish Hun	X-Ray Vision
Woodchick Aire Force Hum Oar	Would You Care For Some More?
Jaw Jan Law Rob Whoosh	George And Laura Bush
Have Thief Honey Skidding Their	Half The Fun Is Getting There
Twin Team Yule Deem Bore Hacks	20 Mule Team Borax
Share Oak Heat Ripe	Cherokee Tribe
Lie Fizz Booty Fell	Life Is Beautiful
Patch Aah Mop Heart Ease	Pajama Parties
Kay Belt Ella Fission	Cable Television
Sandy Egg Coach Arch Hearse	San Diego Chargers
Hammer Sunned Hot Calm	Amazon Dot Com
Shack Each Anne	Jackie Chan
Meaty Pair Ants	Meet The Parents
Sell My High Yak	Selma Hayek
Shell Seek Lint Hun	Chelsea Clinton
Finned Easel	Vin Diesel
Unique Waters Forth Ease Lots	You Need Quarters For The Slots
Wendy's Ain'ts Comb Arch Ink Hen	When The Saints Go Marching In
Feel Hicks Hunger	Felix Unger
Ladle Rut Writing Good	Little Red Riding Hood
Theme Ease Else	The Measles
Hal In Knifers Hun	Allen Iverson
Hang Herman Itch Mint	Anger Management
Hive Bin Gunnel Lung Thyme	I've Been Gone A Long Time
Wok Lie Canny Chip Shun	Walk Like An Egyptain
Seek You're It Heap Lank Kit	Security Blanket
Dunce Wet These Malt Inks	Don't Sweat The Small Things
Oz Trail Ian Axe Scent	Australian Accent
Hen Reek Hay He Clay See As	Enrique Iglesias
Hire Are Hey Yak Ounce	IRA Accounts
Thread Why Tanned Blew	The Red, White And Blue
Dumb Bees Hutch Hay New Cents	Don't Be Such A Nuisance
Tad Dozen Peru Vanna Ting	That Doesn't Prove Anything
Wine Hot Common Upon Seamy	Who Not Come On Up And See Me?
Hummer I Can Graph Heat He	American Graffiti
By Chore Dung	Bite Your Tongue
Wreck Create Shun Halve He Hackle	Recreational Vehicle
Welk Hum Ohm	Welcome Home
Mace Ease Sand Blue Mink Tails	Macy's And Bloomingdale's
Pill League Oat	Billy Goat
Canoe Key Pace He Grit	Can You Keep A Secret?
Wide Ooh Youth Ink Aisle Of View	Why Do You Think I Love You?
Few Daunt Nome He Pine How	If You Don't Know Me By Now
Putt Meow Tough Mimie Missouri	Put Me Out Of My Misery
Chess Stink Ace	Just In Case
Police Beep Reef	Please Be Brief
Debt Score Wrecked	That's Correct
Cry Shape Hearty	Crash A Party
Gleeful Ann Dough High Owe	Cleveland, Ohio
Ow Don Allege	Out On A Ledge
Weenie Toot Hawk	We Need To Talk
Fit He Owes Door	Video Store
Eel Him Herd Eight	Elimidate
Whence Dane Height	Wednesday Night
Rim Him Birth Owl Limo	Remember The Alamo!
Weirdo Youth Ink York Owing	Where Do You Think You're Going?
Dan Sink Wean	Dancing Queen
Fray Deep Rinse June Your	Freddie Prinze Jr.
Water Hue Tall Kennel Bout	What Are You Talking About?
Ditch It Talc Able	Digital Cable
East Heart Edit	He Started It
Korea Count Seller	Career Counselor
Noggin Hock Ooze Their	Knock! Knock! Who's There?
Putty Stale Beet Weenies Legs	Put His Tail Between His Legs
Win Ermine Loaf Saw Womb Hen	When A Man Loves A Woman
Thief Emily Chew Hills	The Family Jewels
Tunnel Drums Felt	Donald Rumsfield
Petty Cue Her	Pedicure
Mess Achoo Set Spay Come Penny	Massachusetts Bay Company
Thief Hull Mound He	The Full Monty
Mine Hey Miss Pond	My Name Is Bond
Lore Deaf Immerse He	Lord Have Mercy
Thud Hen Verb Wrong Goes	The Denver Broncos
Shah Nigh At Wane	Shania Twain
Key Yak Hum Ford Inner	Can You Come For Dinner?
Might Beef Hat Creek Wet Ink	My Big Fat Greek Wedding
Toe Dewitt's Bra Kit	Toad The Wet Sprocket
Saul Sam Who Sick	Salsa Music
Lapper Door Eat Reverse	Labrador Retrievers
Owe Marsha Reef	Omar Sharif
Thumb Worth Hum Hairier	The More The Merrier
Ma'am Fizz Tenor Sea	Memphis, Tennessee
Lie Berry Off Cone Grass	Library Of Congress
Justice Hymn Pull Reek West	Just A Simple Request
Knell Leaf Hurt Ad Doe	Nelly Furtado
Peat Urge Axe On	Peter Jackson
Ice Peed Gun Hex Shun	High-Speed Connection
Uke Ant An Dell Tat Ruth	You Can't Handle The Truth
Knock Seamer Low Shun	Noxzema Lotion
Owe Pencil Lease	Open Slowly
Hit Saw My Fought	It's All My Fault
Throw Bread Ray Source	Thoroughbred Race Horse
Ewe Nigh Ted Kink Dumb	United Kingdom
Seen Your Sit Haze Hens	Senior Citizens
Lack Docent Holler Rent	Lactose Intolerant
Toe Neath Eat Hiker	Tony The Tiger
Hocks Verdict Shun Airy	Oxford Dictionary
High Den Tee Teeth Heft	Identity Theft
Sigh Code Ram Aah	Psycho-Drama
When Hurt Ache Saw	Winner Takes All
Hint Earn Hall Rougher New Sir Face	Internal Revenue Service
Wish Hood Oven Own	We Should Have Known
Lie Summon Alley	Liza Minnelli
Hoe Megan Hum Ex	Home Economics
Sis Coke Hid	Cisco Kid
Her Rome Math Error Pee	Aromatherapy
Tote Ali Calypso Thee Art	Total Eclipse Of The Heart
Tis Coal Eighty	Disco Lady
Lay Deem Hay Donner	Lady Madonna
Hiawatha Dean Edge Van Pyre	I Was A Teenage Vampire
Hen Amy Of Deep He Pole	Enemy Of The People
Noose Pay Per Heap Hoarder	Newspaper Reporter
Wee Thou Tap Addle	Without A Paddle
Hay Oh Welt I'm War Nor	Aol Time Warner
Gun Treat I'm Lum Inn Eight	Country Time Lemonade
Stay Fence Peel Perc	Steven Spielberg
Peg Issue Gut Mare Heed	Peggy Sue Got Married
Hallow Meat Ooh Bayou Aid Rink	Allow Me To Buy You A Drink
Dew Cough Oil	Duke Of Earl
Fee Sack Hard	Visa Card
Has Skinny Won	Ask Anyone
Phil Matt Eel Heaven	Film At Eleven
Mount Hen Lie Inn	Mountain Lion
Eggs Dream Ache Oh Fur	Extreme Makeover
Hoe Pew Heaven Ice Hummer	Hope You Have A Nice Summer
Weep Ring Hood Thins Tool I've	We Bring Good Things To Life
Moe's Art	Mozart
Noose Pay Purse Tanned	Newspaper Stand
These Pie Ooze Hag Dummy	The Spy Who Shagged Me
Nag Rough Halls	Niagara Falls
Poor Toe Reek Hoe	Puerto Rico
Mack Her Owe Knee Inch He's	Macaroni And Cheese
Ease Oh Emmy Chewer	He's So Immature
Loaf Meat Hinder	Love Me Tender
Watt Half Weak Hot Tool Ooze	What Have We Got To Lose?
Mack Swell Louse Cough He	Maxwell House Coffee
Eye Yam Thug Ray Test	I Am The Greatest
My Crow Sir Jury	Microsurgery
Delgihts Haven Dime	Daylight Savings Time
Hump Teed Ump Tee	Humpty Dumpty
Goat Threw Them Oceans	Go Through The Motions
Bat Chill Harp Hearty	Bachelor Party
Oath Hats Discus Ding	Oh Thats Disgusting
Caress Tough Irk Hull Hum Bus	Christopher Columbus
Tan Cue Fort Aching Mike Hall	Thank You For Taking My Call
Pooh Teal Is Shush	Bootylicious
Canoe Key Pit Who Years Elf	Can You Keep It To Yourself?
Quack Her Hole Heed Hip	Guacamole Dip
Wet Knee Ewes Ten	Whitney Houston
Moth Hearse Hay	Mother's Day
Asp Pink Holler Otto	Aspen, Colorado
Peel Hoe Half Her Itch	Below Average
Feel Licks Thick Hat	Felix The Cat
Wand Her Womb Hen	Wonder Woman
Musky Toe Reap Hell Ant	Mosquito Repellant
Avert Jewel Reel Alley Tee	A Virtual Reality
Whole League How	Wok Lie Canny Chip Shun
Nor Tee Horn Ice	Naughty Or Nice
Bay Beak Hot Bach	Baby Got Back
Hug Tomb Eye Ed	You Go To My Head
Prey Tee Womb Anne	Pretty Woman
Poe Lease Deep Heart Mint	Police Department
Howdy Vest Fuzz Juan	How The West Was Won
Dawned Ease Mi	Don't Tease Me
Pay Perk Lips	Paper Clips
Raw Key Row Die Scream	Rocky Road Ice Cream
Jewel Us Seize Her	Julius Ceasar
Bee Foreign Halved Her	Before And After
He-Man Seep Pay Shun	Emancipation
Ma Neat Inks Hark	Man-Eating Shark
Tin Purse Scent Desk Hound	Ten Percent Discount
Too Niece Oprah Know	Tony Soprano
Hen Day Anna's Date	Indiana State
Height Whole Chews Hoe	I Told You So
Fee Henna Walls Moo Sick	Wienna Waltz Music
Pen Elope Eek Rues	Penelope Cruz
These Ant Are Claws	The Santa Clause
Sit Ease Lick Hearse	City Slickers
Mike Arson Dish Hop	My Car's In The Shop
Grin Etch Fell Itch	Greenwich Village
Henna He Bawdy Their	Anybody There?
Eye Mull Of Mush Sheen	I'm A Love Machine
Rube Hens Dud Hard	Ruben Studdard
Knick Hulk Hid Men	Nicole Kidman
Use Mel Could	You Smell Good
Lew Eve Falcon Duck He	Louisville, Kentucky
Ape Hack Awful Eyes	A Pack Of Lies
Lawn Gopher Do	Long Overdue
Ow Tough Sequins	Out Of Sequence
Won Hunt Dread Hollers	One Hundred Dollars
Sock Herb Hauls	Soccer Balls
Lat Stool Hunch	Let's Do Lunch
Eighty Part Mints Tore	A Department Store
Eyes Cool Valley Dick Tour He An	High School Valedictorian
Lock Sand Bay Gulls	Lox And Bagels
Stow Len Key Says	Stolen Kisses
Width Ought Eight Rays	Without A Trace
Pooh Seek Hats	Pussycats
Loaf Verse Try Ankle	Lover's Triangle
Grist He Gnaw Aggie Lair Her	Christina Aguilera
You Knee Copper Two Needy	Unique Opportunity
Rap Hun Sell	Rapunzel
Law San Jail Lust Dimes	Los Angeles Times
A Taco Think Loans	Attack Of The Clones
Than Cue Button Hoe	Thank You
Hugh Knigh Teds Dates	United States
Hefty Chew Fit Swear Hit	If The Shoe Fits, Wear It
Elm Hack Fairs Hun	Elle MacPherson
Run Held Ray Gun	Ronald Reagan
Wad Abe Hummer	What A Bummer!
Some Hero Limp Hicks	Summer Olympics
Noose Raid He Owe	News Radio
Hun Fork Kit Table	Unforgettable
Eggs Cape For Mal Cat Razz	Escape From Alcatraz
Some Ark Amp Ounce Yule Air	Summer Camp Counselor
Toe Beam Hack Wire	Tobey Maguire
Raw Node Mick Dawn Alt	Ronald McDonald
Donut Hoe Pin Beef Fork Wrist Mess	Do Not Open Before Christmas
Huh Vanna Cue Bah	Havana Cuba
Row Man Call Lease He Hem	Roman Coliseum
Why Tell Infants Ale	White Elephant Sale
Mare Reap Hop Inns	Mary Poppins
Bar Brushed Rise Hand	Barbra Streisand
Freez Ham Pulse	Free Samples
Arrest Mike Ace	I Rest My Case
Thirst Hay Even Ink	Thursday Evening
Wad Abe Hunch Off Nuns Hence	What A Bunch Of Nonsense
Pa Tricks Too Ward	Patrick Stewart
Huh Mere Eye Can Eye Dull	American Idol
Abe Hold Faye Sly	A Bold-Faced Lie
Guy Oaty Hug Lee	Coyote Ugly
Aisle Me Chew Have Weigh	I'll Meet You Halfway
Tempo Might Hung	Tip Of My Tongue
Nod Itch Ants	Not A Chance
She Can Catch A Tory	Chicken Cacciatore
Knot Joe Geeze	Nacho Cheese
Earl Eat Tibet Earl Eat Who Rice	Early To Bed Early To Rise
Hoover Aimed Raw Cheer Habit	Who Framed Roger Rabbit?
Pub Lick Ewe Till Itty	Public Utility
We Shy Worth Hare	Wish I Were There
Play Sings Add Dells	Blazing Saddles
High Wetness Snooze	Eyewitness News
Abe Earth Daze Hoot	A Birthday Suit
Hat Ten Shunned Deaf Asset Tis Hoarder	Attention Deficit Disorder
Nest Leak Grunge Jabar	Nestle Crunch Bar
Toe Tall Gun Few Shun	Total Confusion
Up Hound Hug Round Round	A Pound Of Ground Round
Oh Firm Hide Head Potty	Over My Bead Body
Hoe Moth Herb Rave	Home Of The Brave
Eye Mile Tough Guess	I'm Out Of Gas
Us Candle Us Of Hair	A Scandalous Affair
Owe Nat Chore Al	Au Natural
Jar Leash Ian	Charlie Sheen
Sheik Cons Hoop Fur Thistle	Chicken Soup For The Soul
Sex Feed Hunter	Six Feet Under
Half Freight Tough Deed Arc	Afraid Of The Dark
Eel Is Bath Early	Elizabeth Hurley
Deer Leap Heel Hovered	Dearly Beloved
Shoe Gird Hone Huts	Sugar Donuts
Thrill My Coy	The Real McCoy
Shatter Nougat Any Sea	Chattanooga, Tennessee
Mare Eek Ate Danish Lee Hole Sin	Mary-Kate And Ashley Olsen
Her Wreath Of Rank Lynne	Aretha Franklin
Dew Placate Prince	Duplicate Prints
Thesis Nope Lace Furl Eighty	This Is No Place For A Lady
These Oop Ream Kurt	The Supreme Court
Nativity Merry Cans	Native Americans
Fatty Cans Itty	Vatican City
Ghetto Four Abe Row Can Art	Get Over A Broken Heart
Dry Fink Mist Hazy	Driving Miss Daisy
Minnie Sew DAT Wins	Minnesota Twins
Pull Ease Clothes Theodore	Please Close The Door
Thug Yet His Burger Dress	The Ghettysburg Address
You Rowed His Knee	Euro Disney
Spar Cling What Her	Sparkling Water
Nose Moe Kings Own	No-Smoking Zone
Henna Knee Coals Myth	Anna Nicole Smith
Deal If Are Ants	Deliverance
Amos Ooze	A Masseuse
Faye Teller Track Shun	Fatal Attraction
Hive Cot Chew Hun Term Ice Kin	I've Got You Under My Skin
Eye Screams Hand Witch	Ice Cream Sandwich
Eight Hoop Hay	A Toupee
Barbie Cute Rips	Barbecued Ribs
Fur Chins Ray Chords	Virgin Records
Date Roy Pea Stuns	Detroit Pistons
Lit Skit Tone Width Hit	Let's Get On With It
Pull Ease Leaf Mia Lone	Please Leave Me Alone
You Says Dye Erected	Use As Directed
Weigh Cup Toothy Fax	Wake Up To The Facts
Toot Hence Two Ray Lacks	Too Tense To Relax
Puns Offs Teal	Buns Of Steel
Mare Heed Width Chilled Run	Married With Children
Hoe Bra Win Free	Oprah Winfrey
Ewe Hardy Juan Form He	You Are The One For Me
Barfs Hope	Bar Of Soap
Dream Mennen Eight Hub	Three Men In A Tub
Aisle Me Jewel Hater	I'll Meet You Later
Eyeed Ream Oaf Gene He	I Dream Of Genie
Pea Pill Arf Honey	People Are Funny
Win Airy Meds Alley	When Harry Met Sally
Theme Alt Ease Falk Inn	The Maltese Falcon
Nosh Hun Elsie Cure Itty	National Security
Icing Adder Hype Itch	A Sing At A Hight Pitch
Hawk Hidden Us Hide	All Kidding Aside
Ease Iraq Grew Pea	He's A Rock Groupie
Damp Oh Rare Each Hob	Temporary Job
Tree Chores Hail Fright	Treat Yourself Right
Sip Eighty Dude Ha!	Zip-A-Dee-Doo-Dah
Ooze Linus Sit Denny Weigh	Whose Line Is It Anyway?
Kwan Tan Nemo Bake You Bah	Guantanamo Bay, Cuba
Hemp Yule Lance High Wren	Ambulance Siren
Loose Ian Desk Eye Width Dime Hands	Lucy In The Sky With Diamonds
Rub Herb Hey Beep Huggy Bum Purse	Rubber Baby Buggy Bumpers
Juneau Hawaii Filler Bowed Ewe	You Know How I Feel About You
Ear Swan Forth Erode	Here's One For The Road
Aid Eye Mud Us Sin	A Dime A Dozen
Dawn By Chore Fink Earn Ails	Don't Bite Your Fingernails
Elf Red Itch Caulk	Alfred Hitchcock
Few Noose Ooze Hee	If You Knew Susie
Mel Come Eggs	Malcolm X
Safe Hemp Try Fat Try On	Saving Private Ryan
Use Header Moth Fuel	You Said A Mouthful
Weigh Cup Pin Theme Awning	Wake Up In The Morning
Sea Hearse Robe Huck	Sears Roebuck
May Tricks Reel Owe Dead	Matrix Reloaded
Han Dover Theme Honey	Hand Over The Money
Ape Arrows Uncle As His	A Pair Of Sunglasses
Bigger Scant Beach Who Seers	Beggars Can't Be Choosers
Hit Sewn Leap Uphill Of	It's Only Puppy Love
Fell Edge Eddie Hit	Village Idiot
Dutch Egg Cousin Theme Ale	The Check Is In The Mail
Den Eek Hay	Danny Kaye
Dawn Kim Add Kitty Fin	Don't Get Mad, Get Even
Elf Fish Coast Hello	Elvis Costello
Ale Of Huff Air	A Love Affair
My Call Ice Nor	Michael Eisner
Sense Cyst Acres	Census Takers
Wok Aim Aisle Enema Chews	Walk A Mile In My Shoes
Tree Twit Tea Elsie	Treat With TLC
Thick Hearse Soft Eve Umpire	The Curse Of The Vampire
Pair Neck Ed Late He's	Barenaked Ladies
Late Ease Ohm Churn Hal	Ladies' Home Journal
Hemp Heath Reap Layer	MP3 Player
Dye Lem Form Herder	Dial M For Murder
Aid Us Tier Owed	A Dusty Road
Dare Saw Weight Such Ants	There's Always A Chance
Cain Eye Bayou Ade Rink	Can I Buy You A Drink?
Know Awhile He	Noah Wyle
Ray Duh Softy Law Stark	Raiders Of The Lost Ark
Weed Dupe Hay Percolating	We Do Paper Collating
Sigh Cope Ab Bull	Psychobabble
Leaf Meal Own	Leave Me Alone
Hoe Shin Pray	Ocean Spray
Eggs Marx Despot	X Marks The Spot
Dock Terse Ooze	Dr. Seuss
Well Sun Fill Ups	Wilson Phillips
These Hoop Reams	The Supremes
Policed Hymm Delights	Please Dim The Lights
Lore Ants Offer Abe Year	Lawrence Of Arabia
Hit Says Mall Whirled	It's A Small World
Backed Ooze Queer Won	Back To Square One
Key Tan Leap Hold	Kate And Leopold
Thin Hey Muff Thick Aim	The Name Of The Game
Eyes Tink	I Stink
Bra Mutter	Barometer
Arrow Man Tick Calm Eddy	A Romantic Comedy
Fizzy Gal Eggs Ham	Physical Exam
Haul Soft Monty Zoo Ma	Halls Of Montezuma
Lie Sin Sand Dedges Tray Shun	License And Registration
Owed Tube Ill Leech Hoe	Ode To Billie Joe
Shake Key Low Kneel	Shaquille O'Neal
Weaken Worker Hound Debt	We Can Work Around It
Weed Mile Hips	Read My Lips
Sit Chores Height Sigh	Set Your Sights High
Neigh Verse Sane Heifer	Never Say Never
Ice Senate Dew Ewe	I Sent It To You
Gray Can Hear	Greg Kinnear
Around Dove Apple Laws	A Round Of Applause
Elects Hand Earthly Crate	Alexander The Great
Huff Fence If Owl	Offensive Foul
Marry Addle Ladle Am	Mary Had A Little Lamb
Where Tally Hank Of Hick	Weird Al Yankovic
Thief Hearse Touch An You Weary	The First Of January
Root Each Julie Ah Knee	Rudy Giuliani
Mull Teen Ash Annul Fours	Multi-National Force
Juneau Mine Umber	Do You Know My Number?
Duke Hum Mere Off Hen	Do You Come Here Often?
Thirst Aim Awning	Thursday Morning
Theif Hill Art Dell Fee Us Tory	The Philadelphia Story
Sent Drill Hum Eric Aah!	Central America
Pa's Dram Ease Hand Witch	Pastrami Sandwich
My Ham Mead Hole Fins	Miami Dolphins
Junk Airy	John Kerry
Heap Itched Ape Err Fig Came	He Pitched A Perfect Game
Egg Aim Much Egg Curse	A Game Of Checkers
Canned Ache My High Saw Few	Can't Take My Eyes Off You
Paper Own Heap Heats Aah	Pepperoni Pizza
Sink Owed Deem Eye Owe	Cinco De Mayo
Tube Row Tacked Ant Surf	To Protect And Serve
Us It Ease Liquor	A City Slicker
Sigh Ted Fork Un Tempt	Cited For Contempt
Peep Elm Hag Oz Scene	People Magazine
Lay Bird Hey We Kin	Labor Day Weekend
High Wheel Hall Weighs Loaf View	I Will Always Love You
Eye Nay Firm Ache Mist Aches	I Never Make Mistakes
Awe Haze Could Furl Half	Always Good For A Laugh
Hit Sub Pow Dime	It's About Time
Key Pits Imp Pills Too Pet	Keep It Simple Stupid
Nay Home Each Hud	Naomi Judd
Poe Tate Terse Hal Ad	Potato Salad
Sure Lime Hackle Lane	Shirley MacLaine
Up Row Fashion Hulls Beaker	A Professional Speaker
Toe Gap Hearty	Toga Party
Shack Cough Alt Raids	Jack Of All Trades
Nope Odd Den Hose Force Your	Nobody Knows For Sure
Jar Lease There Hawn	Charlize Theron
Floor Eat Dumb Are Lens	Florida Marlins
Knee Go She Ate	Negotiate
New Disc Hollow Knee	Nudist Colony
Row Linen Thumb Honey	Rolling In The Money
Tour Tea Etch Hips	Tortilla Chips
Witch Weighed Hid Ego	Which Way Did He Go?
These Hounds Offs High Lens	The Sounds Of Silence
Paws Iffy Go Shin	Pacific Ocean
Lawn Done Breach	London Bridge
High Weight Who Evan	Highway To Heaven
Dawned Rink Hand Arrive	Don't Drink And Drive
Dub Hell Chap Ore Dee	Double Jeopardy
High Moan Leak Hidden	I'm Only Kidding
Lay Surge Urge Hurry	Laser Surgery
Yore Luke Ink Hood	You're Looking Good
Tot Calm	Dot Com
Sew Fiat Tune Yawn	Soviet Union
Pain Sills Harp Inner	Pencil Sharpener
Lee Gal Heap Lawned	Legally Blonde
Go Tan Hatch Heck	Coat And Hat Check
Chore Chuff Teach Uncle	George Of The Jungle
Was Estrange Lank Wedge	What A Strange Language
Stay Tough Arc Handsaw	State Of Arkansas
Place Day Shun	Playstation
Owe Shins Heel Heaven	Ocean's Eleven
Lee Sack Who'd Row	Lisa Kudrow
Hiss Statue Gnaw King	Is That You Knocking?
Faze Them Hues Sick	Face The Music
Deed At Chew Off Lip Buddy	The Statue Of Liberty
Noose Eel Hand	New Zealand
Reap Lace Mints	Replacements
Thud Era Belt Ooze	The Terrible Twos
Well Yum Shay Kiss Beer	William Shakespeare
Tack Spayer	Taxpayer
Pun Knee Marsh Hull	Penny Marshall
Mack Haul He Can Ken	Macaulay Culkin
Hole Kitten Cup Poodle	Whole Kit And Caboodle
Fur Scum Fur Surfed	First Come First Served
Cur Nells Hand Errs	Colonel Sanders
Haste Huff Danny Mull	A Stuffed Animal
Intern Ash Shun El Tree Tea	International Treaty
Mill Can Goo Keys	Milk And Cookies
Peek Czar Hinder Ten Mint	Pixar Entertainment
Sill Fester Ant We Tee	Slyvester And Tweety
Tie Dull Waif	Tidal Wave
Utah Kin Tomb He	You Talkin' To Me?
Stay Cake Lame	Stake A Claim
Pardon Her Sink Rhyme	Partners In Crime
Law Sand Jealous Lay Curse	Los Angeles Lakers
Hap Rent Dis	Apprentice
Dave Inch Cheek Owed	Da Vinci Code
Bah Kin These Addle Ache Ken	Back In The Saddle Again
Awl Took Hath Earn How	All Together Now
Dutch Mean Them Awning	Touch Me In The Morning
Hiney Duck Holes How Ware	I Need A Cold Shower
Laws Din Trance Lay Shun	Lost In Translation
Nossed Ring Sat Hatched	No Strings Attached
Sent Tom Hanukah	Santa Monica
Ton Love Love	Tunnel Of Love
Chew Ear Thin Ooze	Did You Hear The News?
Hook Hut Ditch Ease	Who Cut The Cheese?
Annie Turn Awful Lame	An Eternal Flame
Since Henna Tea Ojai Owe	Cincinnati, Ohio
Mike Lion Tis Inner Scent	My Client Is Innocent
Hoe Met Quit Heel Hone	Home Equity Loan
Egg Hood Sore Solve Eye Burr	A Good Souce Of Fiber
Thick Hard Enough Heed Hen	The Garden Of Eden
Wheel Yun Air Ream He	Will You Marry Me?
Way Tan Seattle Tude	Wait-And-See Attitude
Teller Aber How Did	Tell Her About It
Peas Dash He Own Huts	Pistachio Nuts
May Cane Aim Foyers Elf	Make A Name For Yourself
Grey Niche Car Net He Quit	Greenwich, Connecticut
Chain Jeff Pays	Change Of Pace
Has Is Tent Men Itcher	Assistant Manager
Tubby Horn Hot Tubby	To Be Or Not To Be
Shy Niece Sheik Anne's Hal Ad	Chinese Chicken Salad
Out Ache Arrow View	I'll Take Care Of You
Mean Are Sin Hue Chain	Me Tarzan, You Jane
Lace Her Ice Serge Hurry	Laser Eye Surgery
Tonier Wards Air Him On Knee	Tony Awards Ceremony
Hay Says Anne Dates	Aces And Eights
Few Own Lean Hue	If You Only Knew
Beak Hall Size Heads Hoe	Because I Said So
These Hound Dan Thief Ewe Re	The Sound And The Fury
Up Arrow Tin Issues	A Pair Of Tennis Shoes
Seethe Rues Rink Crap	See-Through Shrink Wrap
Nome Ore Mist Earn Ice Sky	No More Mister Nice Guy
Just Us Wheel Yam Wren Quest	Justice William Rehnquist
Glassy Fir Dad Fur Ties Mint	Classified Advertisement
Degrease Santa Grate	Degrees Centigrade
Empty Fees Speech Ows	MTV's Beach House
Kenya Sheik Djibouti	Can You Shake Your Booty?
Oz Karma Dis Hun	Oscar Madison
Want Herb Raw	Wonderbra
These Cool Awe Frock	The School Of Rock
Sew Pop Hurrahs Tar	Soap Opera Star
Knee Key Hand Para Silt Hun	Nicky And Paris Hilton
Dame Lurk Rye Seller	Daimler Chrysler
Lie Finch Urine Spa Less He	Life Insurance Policy
Goal Damp Error Shoot	Golden Parachute
Aim Hunk Hear Inch	A Monkey Wrench
Ditch Atoll Cam Hurrah	Digital Camera
Gym Bell Who She	Jim Belushi
Kitten Hurl East Heart	Get An Early Start
My Chem Hires	Mike Myers
Robber Teen Hero	Robert De Niro
Thief Height Glub	The Fight Club
Ache Hunt Trim Aisle	A Country Mile
He Stir Paw Raid	Easter Parade
Thaw My Teed Holler	The Almighty Dollar
Hike Ann Tell Pit	I Can't Help It
Ow Weirds Turn	Howard Stern
Keel Her Beast Ink	Killer Bee Sting
Fee Knicks Harry's Owner	Phoenix, Arizona
Ace Lip Puff That Hung	A Slip Of The Tongue
Tooth Hum Sup	Two Thumbs Up
Wide Hunch Uke Hall	Why Don't You Call?
Toe Reese Cell Ink	Tori Spelling
Seize Hearse Sail Ed	Ceasar Salad
Hairy Sin Fort	Harrison Ford
Mare Reel Inn Man's Hun	Marilyn Manson
Deed Roy Die Guess	Detroit Tigers
He Legs Shunned Hey	Election Day
Vine Ding Knee Moe	Finding Nemo
Soup Herman	Superman
Poise Gout Sofa Merry Car	Boy Scouts Of America
My Crows Off Tex Sell	Microsoft Excel
Lettuce Spray	Let Us Pray
Upper Fig Twirled	A Perfect World
Hits Tan Treason	It Stands To Reason
Gulls Gouts Sofa Mare Eek Her	Girl Scout Of America
Berth Daze Hoot	Birthday Suit
Sham Paint Host	Champagne Toast
Up He Such Ease	A Piece Of Cheese
Swede Boat Eight Dope Eye	Sweet Potato Pie
Paper Fum Ooh Fee	Pay-Per-View Movie
Lee Hone Art Goudh Dove Inch He	Leonardo Da Vinci
Hen Deep Hen Danced Hay	Independence Day
Dents Hell Wars Shin Dun	Denzel Washington
Disguise They'll Him It	The Sky's The Limit
Hum Era Gun Egg Suppress	American Express
Mirror Called Rug	Miracle Drug
Spike Ids	Spy Kids
We Loaf Ore Chin	Wheel Of Fortune
Oz Tin Tech Sass	Austin, Texas
May Kick Wick	Make It Quick
Fair Wren Night	Fahrenheit
My Ham Eve Ice	Miami Vice
Haul Weigh Sewn Mimi Hind	Always On My Mind
Drum Attic Lime Acts	Dramatic Climax
Comet He Affair Hearse	Comedy Of Errors
Ray Sink Air Reese Owner	Raising Arizona
Led Skit Auto Fear	Let's Get Out Of Here
Weep Hay Holes Ale	We Pay Wholesale
Pay Per Row Says	Paper Roses
High Seed Head Pee Pull	I See Dead People
Day Fit Duke Of Knee	David Duchovny
Deed Hay Off Tour Tomb Arrow	Fur Chin Ollie Foil
Varoom Deep Belt Holes	For Whom The Bell Tolls
Tan Needy Fee Toe	Danny Devito
Pop Hair Yahtzee	Paparazzi
